101,Andrew,Aa,Computer Science,Graduate,Andrew08
102,Brian,Bb,Math,Graduate,Brian08
103,Charlie,Cc,Computer Science,Graduate,Charlie08
104,Dan,Dd,Math,Graduate,Dan08
105,Erik,Ee,Math,Undergraduate,Erik08
106,Frank,Ff,Computer Science,Undergraduate,Frank08
107,Greg,Gg,Computer Science,Undergraduate,Greg08
108,Hillary,Hh,Computer Science,Graduate,Hillary08
109,India,Ii,Biology,Graduate,India08
110,Jon,Jj,Biology,Graduate,Jon08
111,Kevin,Kk,Biology,Undergraduate,Kevin08
112,Leo,Ll,Computer Science,Graduate,Leo08
113,Mike,Mm,Computer Science,Undergraduate,Mike08
114,Nick,Nn,Biology,Graduate,Nick08
115,Oscar,Oo,Biology,Undergraduate,Oscar08
116,Pam,Pp,Computer Science,Undergraduate,Pam08
117,Queen,Qq,Biology,Undergraduate,Queen08
118,Rick,Rr,Computer Science,Undergraduate,Rick08
119,Stan,Ss,Biology,Undergraduate,Stan08
120,Tim,Tt,Biology,Graduate,Tim08
121,Uma,Uu,Biology,Undergraduate,Uma08
122,Victor,Vv,Math,Undergraduate,Victor08
123,Wes,Ww,Biology,Graduate,Wes08
124,Xena,Xx,Computer Science,Undergraduate,Xena08
125,Yas,Yy,Biology,Undergraduate,Yas08
126,Zack,Zz,Math,Graduate,Zack08
101,Andrew,Aa,Computer Science,Graduate,Y6453
102,Brian,Bb,Math,Graduate,X7463
103,Charlie,Cc,Computer Science,Graduate,N3869
104,Dan,Dd,Math,Graduate,H6295
105,Erik,Ee,Math,Undergraduate,M7308
106,Frank,Ff,Computer Science,Undergraduate,T6083
107,Greg,Gg,Computer Science,Undergraduate,X7870
108,Hillary,Hh,Computer Science,Graduate,C5892
109,India,Ii,Biology,Graduate,Q7922
110,Jon,Jj,Biology,Graduate,X1779
111,Kevin,Kk,Biology,Undergraduate,B6159
112,Leo,Ll,Computer Science,Graduate,L3462
113,Mike,Mm,Computer Science,Undergraduate,S9052
114,Nick,Nn,Biology,Graduate,Z8176
115,Oscar,Oo,Biology,Undergraduate,U7869
116,Pam,Pp,Computer Science,Undergraduate,E4775
117,Queen,Qq,Biology,Undergraduate,I5829
118,Rick,Rr,Computer Science,Undergraduate,W1878
119,Stan,Ss,Biology,Undergraduate,N5653
120,Tim,Tt,Biology,Graduate,T2519
121,Uma,Uu,Biology,Undergraduate,W9354
